2024-03-27 16:45:25,178 INFO    MainThread:91654 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_setup.py:_flush():76] Configure stats pid to 91654
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_setup.py:_flush():76] Loading settings from /Users/skyfano/.config/wandb/settings
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_setup.py:_flush():76] Loading settings from /Users/skyfano/Documents/Masterarbeit/Prediction_of_energy_prices/wandb/settings
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'predictions/LSTM_wandb.py', 'program_abspath': '/Users/skyfano/Documents/Masterarbeit/Prediction_of_energy_prices/predictions/LSTM_wandb.py', 'program': '/Users/skyfano/Documents/Masterarbeit/Prediction_of_energy_prices/predictions/LSTM_wandb.py'}
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_init.py:_log_setup():527] Logging user logs to /Users/skyfano/Documents/Masterarbeit/Prediction_of_energy_prices/wandb/run-20240327_164525-2knp9izk/logs/debug.log
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_init.py:_log_setup():528] Logging internal logs to /Users/skyfano/Documents/Masterarbeit/Prediction_of_energy_prices/wandb/run-20240327_164525-2knp9izk/logs/debug-internal.log
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_init.py:init():567] calling init triggers
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_init.py:init():617] starting backend
2024-03-27 16:45:25,179 INFO    MainThread:91654 [wandb_init.py:init():621] setting up manager
2024-03-27 16:45:25,182 INFO    MainThread:91654 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-27 16:45:25,183 INFO    MainThread:91654 [wandb_init.py:init():629] backend started and connected
2024-03-27 16:45:25,191 INFO    MainThread:91654 [wandb_init.py:init():721] updated telemetry
2024-03-27 16:45:25,207 INFO    MainThread:91654 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-03-27 16:45:25,711 INFO    MainThread:91654 [wandb_run.py:_on_init():2344] communicating current version
2024-03-27 16:45:25,843 INFO    MainThread:91654 [wandb_run.py:_on_init():2353] got version response 
2024-03-27 16:45:25,843 INFO    MainThread:91654 [wandb_init.py:init():805] starting run threads in backend
2024-03-27 16:45:28,706 INFO    MainThread:91654 [wandb_run.py:_console_start():2323] atexit reg
2024-03-27 16:45:28,706 INFO    MainThread:91654 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-03-27 16:45:28,706 INFO    MainThread:91654 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-03-27 16:45:28,706 INFO    MainThread:91654 [wandb_run.py:_redirect():2268] Redirects installed.
2024-03-27 16:45:28,707 INFO    MainThread:91654 [wandb_init.py:init():848] run started, returning control to user process
2024-03-27 16:45:35,113 WARNING MsgRouterThr:91654 [router.py:message_loop():77] message_loop has been closed
